FP,target_win,jockey,horse_id,jockey_te,horse_id_te
6.0,0,H.Oehara,2021100247,0.0,0.0
7.0,0,Y.Yoshida,2021101015,0.0,0.0
8.0,0,T.Kowata,2021106366,0.0,0.0
9.0,0,T.Nagano,2021103325,0.0,0.0
10.0,0,K.Tosaki,2021105397,0.23076923076923078,0.0
11.0,0,Y.Nonaka,2021105937,0.0,0.0
12.0,0,S.Kobayashi,2021102560,0.0,0.0
1.0,1,Y.Tannai,2021106440,0.25,0.5
2.0,0,T.Kowata,2021103667,0.0,0.0
3.0,0,T.Nagano,2021106666,0.0,0.0
4.0,0,S.Kobayashi,2021100610,0.0,0.25
5.0,0,H.Uchida,2021104665,0.0,0.0
6.0,0,S.Ishibashi,2021106939,0.1111111111111111,0.0
7.0,0,H.Oehara,2021105057,0.0,0.0
8.0,0,H.Kitamura,2021110001,0.2,0.0
9.0,0,M.Sugihara,2021100803,0.0,0.0
10.0,0,T.Ono,2021101394,0.16666666666666666,0.0
11.0,0,K.Yokoyama,2021101279,0.0,0.0
1.0,1,S.Ishibashi,2021104326,0.1111111111111111,0.5
2.0,0,C.Lemaire,2021105661,0.26666666666666666,0.5
4.0,0,Y.Ishikawa,2021102106,0.0,0.0
5.0,0,T.Ono,2021106395,0.16666666666666666,0.0
6.0,0,K.Yokoyama,2021106298,0.0,0.0
7.0,0,A.Sugawara,2021106102,0.0,0.0
8.0,0,K.Tosaki,2021105578,0.23076923076923078,0.0
9.0,0,K.Maruta,2021101385,0.0,0.0
1.0,1,K.Tosaki,2021105485,0.23076923076923078,1.0
2.0,0,N.Yokoyama,2021100350,0.0,0.0
3.0,0,T.Nagano,2021106666,0.0,0.0
4.0,0,T.Kowata,2021103667,0.0,0.0
5.0,0,Y.Hara,2021100356,0.16666666666666666,0.0
6.0,0,T.Yokoyama,2021100594,0.14285714285714285,0.0
7.0,0,A.Tsumura,2021105668,0.125,0.0
8.0,0,K.Nagahama,2021103941,0.0,0.0
9.0,0,S.Kobayashi,2021103710,0.0,0.0
10.0,0,K.Sameshima,2021100662,0.0,0.0
1.0,1,T.Ono,2021103799,0.16666666666666666,1.0
2.0,0,Y.Iwata,2021102016,0.0,0.0
3.0,0,G.Maruyama,2021106308,0.0,0.0
4.0,0,Y.Tannai,2021101724,0.25,0.0
5.0,0,Y.Shibata,2021103809,0.0,0.0
6.0,0,S.Ishibashi,2021101580,0.1111111111111111,0.0
7.0,0,H.Tanabe,2021100152,0.125,0.0
8.0,0,K.Nagahama,2021106395,0.0,0.0
9.0,0,K.Maruta,2021104137,0.0,0.0
10.0,0,Y.Ishikawa,2021105905,0.0,0.0
11.0,0,J.Iwabe,2021102367,0.0,0.0
1.0,1,K.Tosaki,2022105031,0.23076923076923078,1.0
2.0,0,M.Sugihara,2022103316,0.0,0.0
3.0,0,C.Lemaire,2022104939,0.26666666666666666,0.0
4.0,0,Y.Yoshida,2022100336,0.0,0.0
5.0,0,R.Yokoyama,2022103416,0.0,0.0
6.0,0,H.Mayuzumi,2022103330,0.0,0.0
7.0,0,T.Mori,2022104028,0.0,0.0
8.0,0,S.Kobayashi,2022104533,0.0,0.0
1.0,1,D.Sasaki,2022101250,0.16666666666666666,1.0
2.0,0,Y.Ishikawa,2022106803,0.0,0.0
3.0,0,M.Matsuoka,2022101906,0.2,0.0
4.0,0,K.Tosaki,2022105985,0.23076923076923078,0.0
5.0,0,C.Lemaire,2022105185,0.26666666666666666,0.5
6.0,0,A.Sugawara,2022101574,0.0,0.0
7.0,0,Y.Take,2022105429,0.2,0.0
8.0,0,K.Teetan,2022100216,0.0,0.0
9.0,0,T.Yokoyama,2022104781,0.14285714285714285,0.0
1.0,1,H.Kitamura,2022101443,0.2,1.0
2.0,0,T.Marquand,2022103146,0.0,0.0
3.0,0,K.Yokoyama,2022106912,0.0,0.0
4.0,0,T.Hattori,2022102794,0.0,0.0
5.0,0,K.Tosaki,2022103066,0.23076923076923078,0.0
6.0,0,A.Sugawara,2022100737,0.0,0.0
7.0,0,T.Kowata,2022103478,0.0,0.0
8.0,0,M.Muto,2022106999,0.0,0.0
9.0,0,S.Kobayashi,2022104533,0.0,0.0
10.0,0,K.Kikuzawa,2022102621,0.0,0.0
11.0,0,Y.Ishikawa,2022106677,0.0,0.0
12.0,0,A.Tsumura,2022106190,0.125,0.0
13.0,0,M.Michel,2022106051,0.0,0.0
1.0,1,C.Lemaire,2022105143,0.26666666666666666,1.0
2.0,0,T.Marquand,2022104697,0.0,0.0
3.0,0,K.Tosaki,2022101388,0.23076923076923078,0.0
4.0,0,T.Kowata,2022105246,0.0,0.0
6.0,0,C.Demuro,2022105190,0.16666666666666666,0.0
8.0,0,Y.Tannai,2022100757,0.25,0.0
9.0,0,Y.Nonaka,2022106772,0.0,0.0
11.0,0,T.Ono,2022101848,0.16666666666666666,0.0
12.0,0,Y.Hara,2022104097,0.16666666666666666,0.0
13.0,0,R.Yokoyama,2022103416,0.0,0.0
1.0,1,K.Matsuyama,2021104153,0.1,1.0
2.0,0,M.Nagashima,2021103449,0.0,0.0
3.0,0,Y.Furukawa,2021106548,0.0,0.0
4.0,0,Y.Fujioka,2021103303,0.0,0.0
5.0,0,H.Yoshida,2021105454,0.2,0.0
6.0,0,A.Saito,2021104554,0.0,0.0
7.0,0,A.Tomita,2021105868,0.0,0.0
8.0,0,K.Sameshima,2021105540,0.0,0.0
