race_id,date,distance,weather,num_horses,horse_id,horse_name,FP,odds_win,time,last3f,weight,PP,sex_age,jockey,pop_win,horse_weight,venue,surface_type,track_condition,url_jp,target_win,sex,age,weather_Cloudy,weather_LightRain,weather_Rain,weather_Snow,weather_Sunny,weather_nan,sex_2,sex_3,sex_nan
202405020506,2024-05-04,1400.0,Sunny,10,2021101223,Queen's Hat,,,,,55,3,3F,K.Maruta,,,NIIGATA,TURF,Gd,https://db.netkeiba.com/race/202405020506/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021105888,Steelblue,1.0,1.7,1:21.0,33.4,55,10,3F,C.Lemaire,1.0,436(+6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,1,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021106308,Kaito Gut,2.0,8.3,1:21.4,33.6,55,6,3F,G.Maruyama,3.0,460(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021106298,Morino Red Star,3.0,10.3,1:21.7,34.0,55,12,3F,A.Tsumura,4.0,460(-12),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021103039,Going My Way,4.0,12.0,1:21.7,33.7,57,2,3C,J.Moreira,5.0,468(-2),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021105057,On the Venus,5.0,135.8,1:21.9,34.4,55,7,3F,M.Sugihara,11.0,424(+4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021100247,Tiger Dragon,6.0,251.7,1:21.9,33.4,53,13,3C,H.Oehara,12.0,438(-10),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021100152,Best of You,7.0,90.4,1:21.9,34.0,57,11,3C,T.Yokoyama,10.0,418(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021101023,Eifer Battle,8.0,52.8,1:21.9,33.2,55,3,3C,N.Fujita,9.0,436(-8),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021105150,Nafarroa,9.0,4.3,1:22.2,34.0,57,4,3C,K.Tosaki,2.0,456(-6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021100879,Hakusan Eagle,11.0,20.0,1:22.4,34.2,57,5,3C,T.O'shea,6.0,466(-4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021103347,Bogo Sipda,12.0,605.6,1:22.5,34.2,52,8,3F,T.Ishida,15.0,376(+4),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
202405021107,2024-05-25,1400.0,Sunny,15,2021103535,Shines on You,13.0,52.7,1:22.8,35.0,56,14,3C,Y.Hara,8.0,440(-6),TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405021107/,0,3,3,False,False,False,False,True,False,False,True,False
