race_id,date,distance,weather,num_horses,horse_id,horse_name,rank,FP,pop,odds,time,last3f,weight,sex_age,jockey,venue,surface_type,track_condition,url_jp
202408020108,2024-01-27,1600.0,Sunny,,2021106594.0,Yamanin Astron,3,6,490(+12),4,1:34.7,4.5,57,3C,T.Tsunoda,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
202408020108,2024-01-27,1600.0,Sunny,,2021100350.0,Arranger,4,5,466(-6),2,1:35.2,3.4,57,3C,N.Yokoyama,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
202408020108,2024-01-27,1600.0,Sunny,,2021105868.0,Barquentine,5,1,476(+4),6,1:35.7,18.2,57,3C,S.Akiyama,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
202408020108,2024-01-27,1600.0,Sunny,,2021104074.0,Love Diva,6,4,446(+2),5,1:36.0,14.9,55,3F,K.Matsuyama,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
202408020108,2024-01-27,1600.0,Sunny,,,Horse,FP,PP,Horse Wgt.(kg),Fav,FT,Odds,Wgt.(kg),A&S,Jockey,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
202408020108,2024-01-27,1600.0,Sunny,,2021104840.0,Fleuraison,NR,2,436(-6),,,---,55,3F,A.Lemaitre,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
202405010309,2024-02-03,1400.0,Sunny,,2021103559.0,Omega Wink,1,7,470(-4),2,1:21.1,3.7,55,3F,T.Yokoyama,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,2021100139.0,Cranford,2,4,456(0),1,1:21.3,2.0,55,3F,A.Nishimura,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,2021105078.0,Atrium Chapel,3,2,416(-2),3,1:21.5,4.0,55,3F,K.Tosaki,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,2021106615.0,Can See Angel,3,3,454(-2),6,1:21.5,30.3,55,3F,A.Sugawara,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,2021105974.0,Barone,5,1,476(+8),4,1:21.5,9.0,55,3F,C.Lemaire,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,2021105358.0,Asti Spumante,6,5,414(-4),5,1:21.6,11.8,55,3F,R.King,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,2021100610.0,Asagiri,7,8,446(-8),8,1:22.4,68.0,55,3F,K.Miura,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,2021101289.0,Dino Sunrise,8,6,448(-2),7,1:22.5,53.2,55,3F,R.Piechulek,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202405010309,2024-02-03,1400.0,Sunny,,,Horse,FP,PP,Horse Wgt.(kg),Fav,FT,Odds,Wgt.(kg),A&S,Jockey,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202405010309/
202410010709,2024-02-03,1200.0,LightRain,,2021102320.0,Pair Pollux,1,10,474(-6),1,1:08.7,2.2,57,3C,F.Matsuwaka,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021109114.0,Aitaka,10,7,402(-12),10,1:10.1,50.8,55,3F,N.Fujita,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021105312.0,Rouge Rebecca,11,3,442(-6),8,1:10.3,42.3,55,3F,Y.Furukawa,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021104404.0,Chou Cream,12,9,426(-4),4,1:10.3,7.6,55,3F,H.Yoshida,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021100144.0,Lord Tresor,2,11,516(+2),2,1:09.0,4.0,57,3C,Y.Tannai,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021105068.0,Kurino Hallelujah,3,2,466(0),3,1:09.5,7.4,55,3F,A.Tomita,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021102433.0,Art Form,4,6,440(+12),7,1:09.6,27.1,55,3F,A.Saito,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021102562.0,Pulp Fiction,5,1,430(-8),12,1:09.7,73.5,55,3F,S.Akiyama,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021105175.0,St Kilda,6,5,466(-2),9,1:09.7,44.8,57,3C,Y.Kitamura,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021104481.0,Beer for Now,7,8,438(-4),5,1:09.9,9.0,55,3F,R.Kobayashi,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
202410010709,2024-02-03,1200.0,LightRain,,2021106648.0,Bene Merenti,8,4,432(-2),6,1:10.0,18.9,55,3F,D.Sasaki,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202410010709/
